mismatch_type,link_id,in_links_index,in_link_to_paths,path_count,sample_path_ids,street_name_1,street_name_2,street_name_3,note
missing_in_link_to_paths,1879,1,0,0,,CASINO DR,,,r
missing_in_link_to_paths,1882,1,0,0,,COAL VALLEY RD,,,r
missing_in_link_to_paths,1906,1,0,0,,UNITY CENTER RD,,,r
missing_in_link_to_paths,1907,1,0,0,,UNITY CENTER RD,,,r
missing_in_link_to_paths,1908,1,0,0,,OLD LEECHBURG RD,,,r
missing_in_link_to_paths,1958,1,0,0,,SR 65 SB TO REEDSDALE ST,REEDSDALE ST,,r
missing_in_link_to_paths,1959,1,0,0,,SR 65 SB TO REEDSDALE ST,,,r
missing_in_link_to_paths,1982,1,0,0,,EAST CARSON ST,,,r
missing_in_link_to_paths,1984,1,0,0,,FREEPORT RD,,,r
missing_in_link_to_paths,2006,1,0,0,,FORT DUQUESNE BLVD,,,r
missing_in_link_to_paths,2086,1,0,0,,BELLEFIELD AVE,,,r
missing_in_link_to_paths,2092,1,0,0,,,,,r
missing_in_link_to_paths,2093,1,0,0,,SOUTHERN BLWY,,,r
missing_in_link_to_paths,2108,1,0,0,,POTATO GARDEN RUN RD,,,r
missing_in_link_to_paths,2109,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,2112,1,0,0,,HULTON RD,,,r
missing_in_link_to_paths,2117,1,0,0,,MOON CLINTON RD,,,r
missing_in_link_to_paths,2120,1,0,0,,LIBERTY AVE,,,r
missing_in_link_to_paths,2143,1,0,0,,BURTNER RD,,,r
missing_in_link_to_paths,2144,1,0,0,,FREEPORT RD,,,r
missing_in_link_to_paths,2145,1,0,0,,FREEPORT RD,,,r
missing_in_link_to_paths,2148,1,0,0,,BROADLAWN DR,,,r
missing_in_link_to_paths,2244,1,0,0,,ECKERT ST,MCCLURE AVE,,r
missing_in_link_to_paths,2245,1,0,0,,SALTSBURG RD,,,r
missing_in_link_to_paths,2248,1,0,0,,NORTH SHORE DR,,,r
missing_in_link_to_paths,2249,1,0,0,,NORTH SHORE DR,,,r
missing_in_link_to_paths,2276,1,0,0,,RAMP 20 RD,,,r
missing_in_link_to_paths,2277,1,0,0,,BEAVER AVE,,,r
missing_in_link_to_paths,2285,1,0,0,,GREENSBURG PKWY,,,r
missing_in_link_to_paths,2301,1,0,0,,29TH ST,,,r
missing_in_link_to_paths,2329,1,0,0,,ELEVENTH ST,,,r
missing_in_link_to_paths,2330,1,0,0,,TENTH ST BYP,,,r
missing_in_link_to_paths,2343,1,0,0,,,,,r
missing_in_link_to_paths,2344,1,0,0,,BEAVER AVE,,,r
missing_in_link_to_paths,2347,1,0,0,,SR 0022 SH,,,r
missing_in_link_to_paths,2349,1,0,0,,SR 0022 SH,,,r
missing_in_link_to_paths,2352,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,2353,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,2354,1,0,0,,OHIO RIVER BLVD,,,r
missing_in_link_to_paths,2369,1,0,0,,SR 0910 SH,,,r
missing_in_link_to_paths,2397,1,0,0,,ALLEGHENY VALLEY EXPY,,,r
missing_in_link_to_paths,2399,1,0,0,,ALPHA DR,BETA DR,,r
missing_in_link_to_paths,2400,1,0,0,,OLD WILLIAM PENN HWY,,,r
missing_in_link_to_paths,2401,1,0,0,,OLD WILLIAM PENN HWY,,,r
missing_in_link_to_paths,2402,1,0,0,,BEATTY RD,,,r
missing_in_link_to_paths,2427,1,0,0,,HULTON RD,,,r
missing_in_link_to_paths,2457,1,0,0,,,,,r
missing_in_link_to_paths,2495,1,0,0,,SMALLMAN ST,,,r
missing_in_link_to_paths,2524,1,0,0,,MAINLINE TPKE,,,r
missing_in_link_to_paths,2533,1,0,0,,,,,r
missing_in_link_to_paths,2542,1,0,0,,DEWALT DR,NEWPORT DR,,r
missing_in_link_to_paths,2553,1,0,0,,BEECHWOOD BLVD,,,r
missing_in_link_to_paths,2568,1,0,0,,RAVINE ST,OCONNELL BLVD,,r
missing_in_link_to_paths,2577,1,0,0,,NORTH SHORE DR,,,r
missing_in_link_to_paths,2578,1,0,0,,NORTH SHORE DR,,,r
missing_in_link_to_paths,2579,1,0,0,,ART ROONEY AVE,,,r
missing_in_link_to_paths,2595,1,0,0,,KIRKPATRICK ST,,,r
missing_in_link_to_paths,2610,1,0,0,,WOODRUFF ST,,,r
missing_in_link_to_paths,2612,1,0,0,,COMMONWEALTH PL,,,r
missing_in_link_to_paths,2624,1,0,0,,REDGATE/RIVER RD,REDGATE RD,RIVER RD,r
missing_in_link_to_paths,2657,1,0,0,,MAIN ST,,,r
missing_in_link_to_paths,2680,1,0,0,,WEST SMITHFIELD ST,,,r
missing_in_link_to_paths,2707,1,0,0,,MCMURRAY RD,,,r
missing_in_link_to_paths,2724,1,0,0,,OLD WILLIAM PENN HWY,,,r
missing_in_link_to_paths,2768,1,0,0,,,,,r
missing_in_link_to_paths,2769,1,0,0,,,,,r
missing_in_link_to_paths,2770,1,0,0,,BUTLER LOGAN RD,,,r
missing_in_link_to_paths,2771,1,0,0,,,,,r
missing_in_link_to_paths,2840,1,0,0,,BEAVER RD,,,r
missing_in_link_to_paths,2861,1,0,0,,PERRY HWY,,,r
missing_in_link_to_paths,2862,1,0,0,,PERRY HWY,,,r
missing_in_link_to_paths,2863,1,0,0,,CARGO RD,BUSINESS 376,,r
missing_in_link_to_paths,2899,1,0,0,,,,,r
missing_in_link_to_paths,2900,1,0,0,,SOUTHERN BLWY,,,r
missing_in_link_to_paths,2901,1,0,0,,SOUTHERN BLWY,,,r
missing_in_link_to_paths,2902,1,0,0,,GENERAL ROBINSON ST,,,r
missing_in_link_to_paths,2903,1,0,0,,ART ROONEY AVE,,,r
missing_in_link_to_paths,2904,1,0,0,,ART ROONEY AVE,,,r
missing_in_link_to_paths,2937,1,0,0,,ECKERT ST,MCCLURE AVE,,r
